id,split,source,cve_id,cwe,attck_tags,perturbation_strategy,difficulty,path_hops,num_nodes,num_edges,data_license
AVP-R-0048,train,lanl,CVE-2021-63430,CWE-287,T1029,Slow Exfiltration,1,9,10,9,CC-BY-4.0
AVP-R-0049,train,lanl,CVE-2021-45346,CWE-640,T1029,Slow Exfiltration,1,8,9,8,CC-BY-4.0
AVP-R-0050,train,lanl,CVE-2023-36578,CWE-521,T1078.001,Role Confusion,3,5,6,5,CC-BY-4.0
AVP-R-0051,train,mitre-engenuity,CVE-2021-39181,CWE-307,T1047;T1569.002,Tool Injection,2,5,6,5,CC-BY-4.0
AVP-R-0052,train,lanl,CVE-2022-65622,CWE-613,T1557.001,NTLM Relay,2,7,8,7,CC-BY-4.0
AVP-R-0053,train,lanl,CVE-2023-52607,CWE-306,T1029,Slow Exfiltration,1,9,10,9,CC-BY-4.0
AVP-R-0054,train,lmdg-synthetic,CVE-2023-34934,CWE-798,T1018;T1047;T1569.002,Tool Injection,1,8,9,8,CC-BY-4.0
AVP-R-0055,train,mitre-engenuity,CVE-2022-50826,CWE-640,T1078.001,Role Confusion,2,10,11,10,CC-BY-4.0
AVP-R-0056,train,lanl,CVE-2023-57539,CWE-620,T1078,Noisy Decoy,1,6,7,6,CC-BY-4.0
AVP-R-0057,train,mitre-engenuity,CVE-2022-33975,CWE-384,T1047;T1569.002,Tool Injection,4,8,9,8,CC-BY-4.0
AVP-R-0058,train,mitre-engenuity,CVE-2022-60690,CWE-287,T1557.001,NTLM Relay,1,6,7,6,CC-BY-4.0
AVP-R-0059,train,lmdg-synthetic,CVE-2022-62745,CWE-384,T1059.001;T1078.001,Role Confusion,3,5,6,5,CC-BY-4.0
AVP-R-0060,train,mitre-engenuity,CVE-2022-58635,CWE-384,T1078.001,Role Confusion,3,7,8,7,CC-BY-4.0
AVP-R-0061,train,lanl,CVE-2021-49456,CWE-640,T1029,Slow Exfiltration,3,5,6,5,CC-BY-4.0
AVP-R-0062,train,mitre-engenuity,CVE-2021-59731,CWE-307,T1029,Slow Exfiltration,1,10,11,10,CC-BY-4.0
AVP-R-0063,train,lanl,CVE-2021-42058,CWE-521,T1078,Noisy Decoy,3,8,9,8,CC-BY-4.0
AVP-R-0064,train,lanl,CVE-2021-40825,CWE-384,T1078,Noisy Decoy,1,8,9,8,CC-BY-4.0
AVP-R-0065,train,mitre-engenuity,CVE-2022-45483,CWE-200,T1078.001,Role Confusion,4,8,9,8,CC-BY-4.0
AVP-R-0066,train,mitre-engenuity,CVE-2022-59457,CWE-306,T1078.001,Role Confusion,1,6,7,6,CC-BY-4.0
AVP-R-0067,train,mitre-engenuity,CVE-2021-51511,CWE-307,T1078,Noisy Decoy,3,5,6,5,CC-BY-4.0
AVP-R-0068,train,mitre-engenuity,CVE-2023-36578,CWE-521,T1557.001,NTLM Relay,1,7,8,7,CC-BY-4.0
AVP-R-0069,train,lanl,CVE-2023-16028,CWE-521,T1078,Noisy Decoy,1,7,8,7,CC-BY-4.0
AVP-R-0070,train,mitre-engenuity,CVE-2021-58087,CWE-306,T1029,Slow Exfiltration,1,6,7,6,CC-BY-4.0
AVP-R-0071,train,lmdg-synthetic,CVE-2023-33290,CWE-287,T1029;T1059.001,Slow Exfiltration,1,7,8,7,CC-BY-4.0
AVP-R-0072,train,mitre-engenuity,CVE-2021-52744,CWE-798,T1078.001,Role Confusion,4,6,7,6,CC-BY-4.0
AVP-R-0073,train,mitre-engenuity,CVE-2021-12466,CWE-640,T1078.001,Role Confusion,3,6,7,6,CC-BY-4.0
AVP-R-0074,train,mitre-engenuity,CVE-2022-53703,CWE-200,T1047;T1569.002,Tool Injection,3,8,9,8,CC-BY-4.0
AVP-R-0075,train,mitre-engenuity,CVE-2022-17535,CWE-384,T1557.001,NTLM Relay,1,8,9,8,CC-BY-4.0
AVP-R-0076,train,lanl,CVE-2023-32879,CWE-620,T1078.001,Role Confusion,2,7,8,7,CC-BY-4.0
AVP-R-0077,train,lanl,CVE-2023-16850,CWE-287,T1047;T1569.002,Tool Injection,3,5,6,5,CC-BY-4.0
AVP-R-0078,train,lmdg-synthetic,CVE-2023-43154,CWE-798,T1021.006;T1047;T1569.002,Tool Injection,4,5,6,5,CC-BY-4.0
AVP-R-0079,train,lanl,CVE-2023-57539,CWE-620,T1047;T1569.002,Tool Injection,4,8,9,8,CC-BY-4.0
AVP-R-0080,train,lanl,CVE-2023-43976,CWE-640,T1029,Slow Exfiltration,1,8,9,8,CC-BY-4.0
AVP-R-0081,train,lanl,CVE-2023-53018,CWE-521,T1078,Noisy Decoy,1,7,8,7,CC-BY-4.0
AVP-R-0082,train,lanl,CVE-2023-18083,CWE-200,T1078.001,Role Confusion,3,7,8,7,CC-BY-4.0
AVP-R-0083,train,mitre-engenuity,CVE-2023-47675,CWE-384,T1029,Slow Exfiltration,2,5,6,5,CC-BY-4.0
AVP-R-0084,train,lanl,CVE-2021-55210,CWE-287,T1047;T1569.002,Tool Injection,1,10,11,10,CC-BY-4.0
AVP-R-0085,train,lanl,CVE-2022-46716,CWE-640,T1047;T1569.002,Tool Injection,1,10,11,10,CC-BY-4.0
AVP-R-0086,train,lanl,CVE-2021-61786,CWE-640,T1557.001,NTLM Relay,2,5,6,5,CC-BY-4.0
AVP-R-0087,train,lanl,CVE-2021-65485,CWE-384,T1557.001,NTLM Relay,1,8,9,8,CC-BY-4.0
AVP-R-0088,train,mitre-engenuity,CVE-2022-41784,CWE-798,T1078.001,Role Confusion,1,5,6,5,CC-BY-4.0
AVP-R-0089,train,lanl,CVE-2022-59046,CWE-640,T1029,Slow Exfiltration,2,8,9,8,CC-BY-4.0
AVP-R-0090,train,mitre-engenuity,CVE-2023-33701,CWE-307,T1078.001,Role Confusion,3,8,9,8,CC-BY-4.0
AVP-R-0091,train,mitre-engenuity,CVE-2022-39729,CWE-620,T1029,Slow Exfiltration,3,4,5,4,CC-BY-4.0
AVP-R-0092,train,lmdg-synthetic,CVE-2021-60553,CWE-200,T1047;T1059.003;T1569.002,Tool Injection,1,5,6,5,CC-BY-4.0
AVP-R-0093,train,mitre-engenuity,CVE-2022-41784,CWE-798,T1029,Slow Exfiltration,1,8,9,8,CC-BY-4.0
AVP-R-0094,train,lmdg-synthetic,CVE-2022-15480,CWE-287,T1021.006;T1557.001,NTLM Relay,1,5,6,5,CC-BY-4.0
AVP-R-0095,train,mitre-engenuity,CVE-2021-36304,CWE-798,T1029,Slow Exfiltration,1,5,6,5,CC-BY-4.0
AVP-R-0096,train,lanl,CVE-2022-10959,CWE-620,T1029,Slow Exfiltration,2,8,9,8,CC-BY-4.0
AVP-R-0097,train,lanl,CVE-2023-44387,CWE-306,T1078,Noisy Decoy,2,6,7,6,CC-BY-4.0
AVP-R-0098,train,lmdg-synthetic,CVE-2022-49593,CWE-200,T1021.004;T1047;T1569.002,Tool Injection,3,5,6,5,CC-BY-4.0
AVP-R-0099,train,lanl,CVE-2023-33290,CWE-287,T1047;T1569.002,Tool Injection,1,6,7,6,CC-BY-4.0
AVP-R-0100,train,lanl,CVE-2022-10959,CWE-620,T1029,Slow Exfiltration,4,8,9,8,CC-BY-4.0
AVP-R-0101,train,mitre-engenuity,CVE-2022-35619,CWE-620,T1078,Noisy Decoy,1,5,6,5,CC-BY-4.0
AVP-R-0102,train,lmdg-synthetic,CVE-2023-13562,CWE-613,T1021.004;T1078.001,Role Confusion,2,5,6,5,CC-BY-4.0
AVP-R-0103,train,lanl,CVE-2023-34112,CWE-613,T1078.001,Role Confusion,2,6,7,6,CC-BY-4.0
AVP-R-0104,train,lanl,CVE-2021-13288,CWE-521,T1047;T1569.002,Tool Injection,3,7,8,7,CC-BY-4.0
AVP-R-0105,train,mitre-engenuity,CVE-2021-43702,CWE-613,T1029,Slow Exfiltration,1,6,7,6,CC-BY-4.0
AVP-R-0106,train,lmdg-synthetic,CVE-2021-63430,CWE-287,T1059.003;T1078.001,Role Confusion,4,10,11,10,CC-BY-4.0
AVP-R-0107,train,lmdg-synthetic,CVE-2021-14932,CWE-613,T1018;T1557.001,NTLM Relay,1,6,7,6,CC-BY-4.0
AVP-R-0108,train,lmdg-synthetic,CVE-2021-36715,CWE-384,T1049;T1078,Noisy Decoy,1,9,10,9,CC-BY-4.0
AVP-R-0109,train,mitre-engenuity,CVE-2022-38907,CWE-306,T1078,Noisy Decoy,1,6,7,6,CC-BY-4.0
AVP-R-0110,train,mitre-engenuity,CVE-2023-60416,CWE-640,T1078.001,Role Confusion,1,5,6,5,CC-BY-4.0
AVP-R-0111,train,mitre-engenuity,CVE-2023-55895,CWE-384,T1078.001,Role Confusion,3,10,11,10,CC-BY-4.0
AVP-R-0112,train,mitre-engenuity,CVE-2021-33427,CWE-306,T1047;T1569.002,Tool Injection,2,8,9,8,CC-BY-4.0
AVP-R-0113,train,lanl,CVE-2021-34249,CWE-620,T1029,Slow Exfiltration,2,5,6,5,CC-BY-4.0
AVP-R-0114,train,lmdg-synthetic,CVE-2022-48771,CWE-307,T1018;T1078,Noisy Decoy,4,8,9,8,CC-BY-4.0
AVP-R-0115,train,mitre-engenuity,CVE-2021-64252,CWE-613,T1557.001,NTLM Relay,1,9,10,9,CC-BY-4.0
AVP-R-0116,train,lanl,CVE-2023-43565,CWE-384,T1078.001,Role Confusion,4,6,7,6,CC-BY-4.0
AVP-R-0117,train,mitre-engenuity,CVE-2021-34249,CWE-620,T1047;T1569.002,Tool Injection,3,10,11,10,CC-BY-4.0
AVP-R-0118,train,lanl,CVE-2022-38496,CWE-640,T1078.001,Role Confusion,4,6,7,6,CC-BY-4.0
AVP-R-0119,train,mitre-engenuity,CVE-2021-63430,CWE-287,T1029,Slow Exfiltration,2,6,7,6,CC-BY-4.0
AVP-R-0120,train,mitre-engenuity,CVE-2023-60416,CWE-640,T1029,Slow Exfiltration,4,6,7,6,CC-BY-4.0
AVP-R-0121,train,mitre-engenuity,CVE-2022-43839,CWE-620,T1078,Noisy Decoy,2,6,7,6,CC-BY-4.0
AVP-R-0122,train,lanl,CVE-2022-47538,CWE-521,T1047;T1569.002,Tool Injection,4,5,6,5,CC-BY-4.0
AVP-R-0123,train,lanl,CVE-2022-41373,CWE-200,T1029,Slow Exfiltration,2,8,9,8,CC-BY-4.0
AVP-R-0124,train,lmdg-synthetic,CVE-2023-64526,CWE-640,T1049;T1557.001,NTLM Relay,2,5,6,5,CC-BY-4.0
AVP-R-0125,train,mitre-engenuity,CVE-2023-49319,CWE-620,T1029,Slow Exfiltration,2,5,6,5,CC-BY-4.0
AVP-R-0126,train,lmdg-synthetic,CVE-2022-40551,CWE-307,T1021.004;T1078.001,Role Confusion,3,7,8,7,CC-BY-4.0
AVP-R-0127,train,lanl,CVE-2023-44798,CWE-521,T1078,Noisy Decoy,1,7,8,7,CC-BY-4.0
AVP-R-0128,train,lanl,CVE-2023-50141,CWE-307,T1557.001,NTLM Relay,2,5,6,5,CC-BY-4.0
AVP-R-0129,train,lanl,CVE-2023-64526,CWE-640,T1078.001,Role Confusion,3,6,7,6,CC-BY-4.0
AVP-R-0130,train,lanl,CVE-2021-62608,CWE-521,T1078.001,Role Confusion,2,5,6,5,CC-BY-4.0
AVP-R-0131,train,lanl,CVE-2022-49182,CWE-613,T1029,Slow Exfiltration,2,9,10,9,CC-BY-4.0
AVP-R-0132,train,lmdg-synthetic,CVE-2022-34386,CWE-640,T1049;T1557.001,NTLM Relay,4,9,10,9,CC-BY-4.0
AVP-R-0133,train,mitre-engenuity,CVE-2022-43839,CWE-620,T1557.001,NTLM Relay,3,6,7,6,CC-BY-4.0
AVP-R-0134,train,lanl,CVE-2021-14932,CWE-613,T1078.001,Role Confusion,3,10,11,10,CC-BY-4.0
AVP-R-0135,train,mitre-engenuity,CVE-2022-55347,CWE-306,T1047;T1569.002,Tool Injection,2,7,8,7,CC-BY-4.0
AVP-R-0136,train,lmdg-synthetic,CVE-2021-34249,CWE-620,T1021.004;T1557.001,NTLM Relay,3,9,10,9,CC-BY-4.0
AVP-R-0137,train,mitre-engenuity,CVE-2021-57265,CWE-384,T1047;T1569.002,Tool Injection,1,5,6,5,CC-BY-4.0
AVP-R-0138,train,lmdg-synthetic,CVE-2021-42880,CWE-287,T1078;T1087,Noisy Decoy,1,5,6,5,CC-BY-4.0
AVP-R-0139,train,mitre-engenuity,CVE-2023-63293,CWE-200,T1047;T1569.002,Tool Injection,4,5,6,5,CC-BY-4.0
AVP-R-0140,train,lmdg-synthetic,CVE-2023-33290,CWE-287,T1021.004;T1078.001,Role Confusion,4,10,11,10,CC-BY-4.0
AVP-R-0141,train,lanl,CVE-2022-45894,CWE-798,T1557.001,NTLM Relay,1,5,6,5,CC-BY-4.0
AVP-R-0142,train,mitre-engenuity,CVE-2023-34523,CWE-200,T1557.001,NTLM Relay,2,8,9,8,CC-BY-4.0
AVP-R-0143,train,mitre-engenuity,CVE-2023-43976,CWE-640,T1557.001,NTLM Relay,2,7,8,7,CC-BY-4.0
AVP-R-0144,train,mitre-engenuity,CVE-2022-17535,CWE-384,T1047;T1569.002,Tool Injection,3,10,11,10,CC-BY-4.0
AVP-R-0145,train,mitre-engenuity,CVE-2022-10137,CWE-306,T1029,Slow Exfiltration,2,9,10,9,CC-BY-4.0
AVP-R-0146,train,lmdg-synthetic,CVE-2023-12329,CWE-620,T1049;T1078,Noisy Decoy,1,5,6,5,CC-BY-4.0
AVP-R-0147,train,lanl,CVE-2021-10000,CWE-287,T1557.001,NTLM Relay,4,8,9,8,CC-BY-4.0
AVP-R-0148,train,lmdg-synthetic,CVE-2023-38633,CWE-200,T1021.006;T1047;T1569.002,Tool Injection,2,9,10,9,CC-BY-4.0
AVP-R-0149,train,lanl,CVE-2023-41099,CWE-620,T1047;T1569.002,Tool Injection,2,7,8,7,CC-BY-4.0
AVP-R-0150,train,lmdg-synthetic,CVE-2021-12055,CWE-384,T1018;T1078,Noisy Decoy,1,6,7,6,CC-BY-4.0
AVP-R-0151,train,mitre-engenuity,CVE-2021-56443,CWE-200,T1078,Noisy Decoy,1,8,9,8,CC-BY-4.0
AVP-R-0152,train,lanl,CVE-2023-61649,CWE-620,T1047;T1569.002,Tool Injection,1,5,6,5,CC-BY-4.0
AVP-R-0153,train,lanl,CVE-2023-39044,CWE-798,T1047;T1569.002,Tool Injection,2,8,9,8,CC-BY-4.0
AVP-R-0154,train,mitre-engenuity,CVE-2021-50689,CWE-620,T1078.001,Role Confusion,1,7,8,7,CC-BY-4.0
AVP-R-0155,train,mitre-engenuity,CVE-2021-37948,CWE-521,T1078.001,Role Confusion,2,6,7,6,CC-BY-4.0
AVP-R-0156,train,lanl,CVE-2022-43017,CWE-306,T1078.001,Role Confusion,2,8,9,8,CC-BY-4.0
AVP-R-0157,train,lmdg-synthetic,CVE-2022-63567,CWE-306,T1018;T1047;T1569.002,Tool Injection,3,8,9,8,CC-BY-4.0
AVP-R-0158,train,lmdg-synthetic,CVE-2022-55347,CWE-306,T1018;T1029,Slow Exfiltration,1,5,6,5,CC-BY-4.0
AVP-R-0159,train,mitre-engenuity,CVE-2023-46031,CWE-307,T1078.001,Role Confusion,1,9,10,9,CC-BY-4.0
AVP-R-0160,train,mitre-engenuity,CVE-2022-59457,CWE-306,T1078,Noisy Decoy,2,10,11,10,CC-BY-4.0
AVP-R-0161,train,lmdg-synthetic,CVE-2023-54662,CWE-613,T1021.006;T1047;T1569.002,Tool Injection,3,6,7,6,CC-BY-4.0
AVP-R-0162,train,mitre-engenuity,CVE-2023-66170,CWE-287,T1078,Noisy Decoy,3,10,11,10,CC-BY-4.0
AVP-R-0163,train,lanl,CVE-2022-47538,CWE-521,T1078.001,Role Confusion,3,9,10,9,CC-BY-4.0
AVP-R-0164,train,lanl,CVE-2023-62471,CWE-307,T1047;T1569.002,Tool Injection,3,10,11,10,CC-BY-4.0
AVP-R-0165,train,lmdg-synthetic,CVE-2022-17946,CWE-640,T1021.006;T1078,Noisy Decoy,3,6,7,6,CC-BY-4.0
AVP-R-0166,train,lanl,CVE-2023-10274,CWE-798,T1557.001,NTLM Relay,1,9,10,9,CC-BY-4.0
AVP-R-0167,train,lmdg-synthetic,CVE-2022-33153,CWE-200,T1047;T1049;T1569.002,Tool Injection,3,8,9,8,CC-BY-4.0
AVP-R-0168,train,lanl,CVE-2022-37674,CWE-798,T1078,Noisy Decoy,1,6,7,6,CC-BY-4.0
AVP-R-0169,train,lanl,CVE-2021-35071,CWE-307,T1047;T1569.002,Tool Injection,2,9,10,9,CC-BY-4.0
AVP-R-0170,train,mitre-engenuity,CVE-2022-62745,CWE-384,T1078.001,Role Confusion,2,5,6,5,CC-BY-4.0
AVP-R-0171,train,lanl,CVE-2023-49730,CWE-287,T1078,Noisy Decoy,2,9,10,9,CC-BY-4.0
AVP-R-0172,train,mitre-engenuity,CVE-2023-16850,CWE-287,T1029,Slow Exfiltration,1,7,8,7,CC-BY-4.0
AVP-R-0173,train,mitre-engenuity,CVE-2023-62882,CWE-613,T1557.001,NTLM Relay,1,7,8,7,CC-BY-4.0
AVP-R-0174,train,lmdg-synthetic,CVE-2021-10822,CWE-613,T1049;T1557.001,NTLM Relay,1,7,8,7,CC-BY-4.0
AVP-R-0175,train,lanl,CVE-2022-62745,CWE-384,T1078,Noisy Decoy,1,9,10,9,CC-BY-4.0
AVP-R-0176,train,lanl,CVE-2021-60553,CWE-200,T1029,Slow Exfiltration,2,9,10,9,CC-BY-4.0
AVP-R-0177,train,lanl,CVE-2021-10411,CWE-307,T1557.001,NTLM Relay,1,6,7,6,CC-BY-4.0
AVP-R-0178,train,lanl,CVE-2023-64937,CWE-306,T1047;T1569.002,Tool Injection,3,9,10,9,CC-BY-4.0
AVP-R-0179,train,mitre-engenuity,CVE-2022-16713,CWE-200,T1557.001,NTLM Relay,1,6,7,6,CC-BY-4.0
AVP-R-0180,train,mitre-engenuity,CVE-2023-38222,CWE-613,T1029,Slow Exfiltration,3,9,10,9,CC-BY-4.0
AVP-R-0181,train,lanl,CVE-2021-37126,CWE-640,T1078.001,Role Confusion,1,6,7,6,CC-BY-4.0
AVP-R-0182,train,lanl,CVE-2022-16713,CWE-200,T1029,Slow Exfiltration,2,7,8,7,CC-BY-4.0
AVP-R-0183,train,lanl,CVE-2023-16028,CWE-521,T1557.001,NTLM Relay,2,6,7,6,CC-BY-4.0
AVP-R-0184,train,mitre-engenuity,CVE-2022-57402,CWE-613,T1047;T1569.002,Tool Injection,4,6,7,6,CC-BY-4.0
AVP-R-0185,train,lanl,CVE-2023-12329,CWE-620,T1557.001,NTLM Relay,4,9,10,9,CC-BY-4.0
AVP-R-0186,train,lmdg-synthetic,CVE-2023-57128,CWE-521,T1018;T1557.001,NTLM Relay,1,7,8,7,CC-BY-4.0
AVP-R-0187,train,mitre-engenuity,CVE-2022-63978,CWE-521,T1078.001,Role Confusion,2,5,6,5,CC-BY-4.0
AVP-R-0188,train,mitre-engenuity,CVE-2021-40825,CWE-384,T1078,Noisy Decoy,4,6,7,6,CC-BY-4.0
AVP-R-0189,train,mitre-engenuity,CVE-2023-10685,CWE-384,T1078,Noisy Decoy,2,5,6,5,CC-BY-4.0
AVP-R-0190,train,lmdg-synthetic,CVE-2022-43017,CWE-306,T1059.001;T1078,Noisy Decoy,1,8,9,8,CC-BY-4.0
AVP-R-0191,train,lanl,CVE-2023-60827,CWE-306,T1078.001,Role Confusion,4,10,11,10,CC-BY-4.0
AVP-R-0192,train,lanl,CVE-2021-59320,CWE-287,T1078.001,Role Confusion,3,8,9,8,CC-BY-4.0
AVP-R-0193,train,lmdg-synthetic,CVE-2022-13014,CWE-798,T1021.006;T1029,Slow Exfiltration,2,6,7,6,CC-BY-4.0
AVP-R-0194,train,lmdg-synthetic,CVE-2021-60964,CWE-798,T1087;T1557.001,NTLM Relay,1,10,11,10,CC-BY-4.0
AVP-R-0195,train,lanl,CVE-2023-16850,CWE-287,T1078.001,Role Confusion,3,10,11,10,CC-BY-4.0
AVP-R-0196,train,mitre-engenuity,CVE-2023-65759,CWE-620,T1557.001,NTLM Relay,1,5,6,5,CC-BY-4.0
AVP-R-0197,train,mitre-engenuity,CVE-2022-59868,CWE-521,T1029,Slow Exfiltration,3,10,11,10,CC-BY-4.0
AVP-R-0198,train,lanl,CVE-2022-17946,CWE-640,T1557.001,NTLM Relay,1,5,6,5,CC-BY-4.0
AVP-R-0199,train,lanl,CVE-2022-38496,CWE-640,T1047;T1569.002,Tool Injection,2,9,10,9,CC-BY-4.0
AVP-R-0200,train,lanl,CVE-2021-66718,CWE-521,T1078.001,Role Confusion,1,8,9,8,CC-BY-4.0
AVP-R-0201,train,mitre-engenuity,CVE-2022-58635,CWE-384,T1078.001,Role Confusion,4,10,11,10,CC-BY-4.0
AVP-R-0202,train,lmdg-synthetic,CVE-2022-17535,CWE-384,T1029;T1049,Slow Exfiltration,4,10,11,10,CC-BY-4.0
AVP-R-0203,train,lmdg-synthetic,CVE-2021-10411,CWE-307,T1018;T1078.001,Role Confusion,3,9,10,9,CC-BY-4.0
AVP-R-0204,train,lanl,CVE-2021-53566,CWE-640,T1078,Noisy Decoy,4,9,10,9,CC-BY-4.0
AVP-R-0205,train,lmdg-synthetic,CVE-2021-12466,CWE-640,T1029;T1059.001,Slow Exfiltration,1,7,8,7,CC-BY-4.0
AVP-R-0206,train,mitre-engenuity,CVE-2022-61512,CWE-613,T1047;T1569.002,Tool Injection,2,7,8,7,CC-BY-4.0
